1.png	1 1 +  6 4 = 7 5 
2.png	6 4 - 1 1 = 5 3 
4.png	8 9 - 7 3 = 1 6 
22.png	7 7 7 - 7 7 7 = 0 0 0 
27.png	7 9 9 - 1 2 3 = 6 7 6 
37.png	3 2 + 1 5 = 4 7 
39.png	4 8 - 2 2 = 2 6 
44.png	1 9 - 5 = 1 4 
46.png	3 8 - 1 2 = 2 6 
47.png	4 5 6 - 1 2 3 = 3 3 3 
48.png	1 2 3 + 4 5 6 = 5 7 9 
50.png	4 4 4 - 3 1 3 = 1 2 1 
51.png	5 + 2 = 7 
52.png	1 2 + 3 4 = 4 6 
54.png	1 0 + 9 = 1 9 
55.png	0 + 0 = 0 
58.png	8 1 6 + 7 3 5 = 1 5 6 9 
62.png	1 2 3 + 4 5 = 1 6 8 
64.png	2 - 1 = 1 
65.png	9 - 7 = 2 
67.png	4 7 - 4 6 = 0 1 
69.png	1 2 - 1 0 = 0 2 
70.png	6 9 - 3 8 = 3 1 
71.png	9 9 9 - 7 8 2 = 2 1 7 
74.png	9 9 9 - 9 9 9 = 0 0 0 
79.png	2 7 - 1 3 = 1 4 
81.png	1 4 + 2 0 = 3 4 
84.png	4 5 6 - 1 2 3 = 3 3 3 
86.png	7 7 + 2 2 = 9 9 
96.png	1 6 + 5 2 = 6 8 
97.png	4 2 + 3 6 = 7 8 
100.png	4 5 + 2 2 = 6 7 
113.png	5 9 3 - 5 9 3 = 0 
118.png	4 4 4 + 4 4 4 = 8 8 8 
151.png	8 + 8 = 1 6
153.png	3 2 + 3 2 = 6 4
154.png	6 4 + 6 4 = 1 2 8
157.png	5 1 2 + 5 1 2 = 1 0 2 4
158.png	3 + 3 = 6
159.png	6 + 6 = 1 2
160.png	1 2 + 1 2 = 2 4
161.png	2 4 + 2 4 = 4 8
167.png	4 + 4 = 8
169.png	1 2 3 + 3 2 1 = 4 4 4
170.png	1 5 1 + 6 2 6 = 7 7 7
172.png	5 + 4 = 9
173.png	3 + 4 = 7
174.png	7 + 1 = 8
175.png	1 3 + 9 1 = 1 0 4
176.png	3 2 + 4 5 = 7 7
178.png	9 9 - 9 = 9 0
185.png	3 6 - 9 = 2 7
188.png	9 - 9 = 0
190.png	1 7 - 1 6 = 0 1
192.png	0 3 - 0 1 = 0 2
195.png	1 2 8 - 2 8 = 1 0 0
197.png	9 9 - 1 = 9 8
198.png	9 8 - 4 4 = 5 4
200.png	1 0 - 1 0 = 0 0
201.png	1 2 + 6 = 1 8
202.png	1 2 + 2 4 = 3 6
206.png	2 1 + 3 6 = 5 7
212.png	2 8 + 1 0 = 3 8
213.png	1 7 4 - 3 4 = 1 4 0
242.png	2 8 4 + 4 0 4 = 6 8 8
248.png	8 9 8 - 7 5 4 = 1 4 4
251.png	7 0 2 + 1 3 0 = 8 3 2
255.png	6 2 - 5 1 = 1 1
262.png	5 8 - 4 5 = 1 3
290.png	3 4 1 + 5 4 8 = 8 8 9
304.png	9 7 6 - 1 5 1 = 8 2 5
